Winter.year,Site,mean.w.T
2006,LI1,4.352250542
2006,LI2,4.352250542
2006,LI4,4.352250542
2006,LI6,4.129679184
2006,LI7,4.129679184
2006,LI8,4.129679184
2007,CI1,5.781294938
2007,CI2,5.781294938
2007,CI4,5.781294938
2007,CI5,5.781294938
2007,LI1,5.920933346
2007,LI2,5.920933346
2007,LI4,5.920933346
2007,LI6,5.71496773
2007,LI7,5.71496773
2007,LI8,5.71496773
2008,CI1,5.117276994
2008,CI2,5.117276994
2008,CI4,5.117276994
2008,CI5,5.117276994
2008,LI1,5.25136747
2008,LI2,5.25136747
2008,LI4,5.25136747
2008,LI6,5.047933504
2008,LI7,5.047933504
2008,LI8,5.047933504
2009,CI1,3.869297211
2009,CI2,3.869297211
2009,CI4,3.869297211
2009,CI5,3.869297211
2009,LI1,4.036639452
2009,LI2,4.036639452
2009,LI4,4.036639452
2009,LI6,3.835530834
2009,LI7,3.835530834
2009,LI8,3.835530834
2010,CI1,3.584564131
2010,CI2,3.584564131
2010,CI4,3.584564131
2010,CI5,3.584564131
2010,LI1,3.745327975
2010,LI2,3.745327975
2010,LI4,3.745327975
2010,LI6,3.552758215
2010,LI7,3.552758215
2010,LI8,3.552758215
2011,CI1,3.271571805
2011,CI2,3.271571805
2011,CI4,3.271571805
2011,CI5,3.271571805
2011,LI1,3.386350079
2011,LI2,3.386350079
2011,LI4,3.386350079
2011,LI6,3.169187062
2011,LI7,3.169187062
2011,LI8,3.169187062
2012,CI1,5.920509334
2012,CI2,5.920509334
2012,CI4,5.920509334
2012,CI5,5.920509334
2012,LI1,6.031627258
2012,LI2,6.031627258
2012,LI4,6.031627258
2012,LI6,5.813226451
2012,LI7,5.813226451
2012,LI8,5.813226451
2013,CI1,3.286466744
2013,CI2,3.286466744
2013,CI4,3.286466744
2013,CI5,3.286466744
2013,LI1,3.405215712
2013,LI2,3.405215712
2013,LI4,3.405215712
2013,LI6,3.191231306
2013,LI7,3.191231306
2013,LI8,3.191231306
2014,CI1,5.428619953
2014,CI2,5.428619953
2014,CI4,5.428619953
2014,CI5,5.428619953
2014,LI1,5.572560014
2014,LI2,5.572560014
2014,LI4,5.572560014
2014,LI6,5.365944451
2014,LI7,5.365944451
2014,LI8,5.365944451
2015,CI1,4.768351792
2015,CI2,4.768351792
2015,CI4,4.768351792
2015,CI5,4.768351792
2015,LI1,4.927349791
2015,LI2,4.927349791
2015,LI4,4.927349791
2015,LI6,4.717860235
2015,LI7,4.717860235
2015,LI8,4.717860235
2016,CI1,5.749070372
2016,CI2,5.749070372
2016,CI4,5.749070372
2016,CI5,5.749070372
2016,LI1,5.881924294
2016,LI2,5.881924294
2016,LI4,5.881924294
2016,LI6,5.664641588
2016,LI7,5.664641588
2016,LI8,5.664641588
2017,CI1,5.104972211
2017,CI2,5.104972211
2017,CI4,5.104972211
2017,CI5,5.104972211
2017,LI1,5.209609499
2017,LI2,5.209609499
2017,LI4,5.209609499
2017,LI6,4.984301401
2017,LI7,4.984301401
2017,LI8,4.984301401
2018,CI1,4.270224875
2018,CI2,4.270224875
2018,CI4,4.270224875
2018,CI5,4.270224875
2018,LI1,4.415541043
2018,LI2,4.415541043
2018,LI4,4.415541043
2018,LI6,4.213495393
2018,LI7,4.213495393
2018,LI8,4.213495393
